league,team,p_title,p_top4,p_releg,exp_pts,elo_start,new_team
premier-league,Brighton &amp; Hove Albion,0.0025,0.062,0.030375,52.3,1490,False
premier-league,Newcastle United,0.002,0.0445,0.037125,51.5,1475,False
premier-league,FC Everton,0.001875,0.041875,0.03275,51.7,1464,False
premier-league,Crystal Palace,0.001,0.02675,0.0665,48.8,1459,False
premier-league,Leeds United,0.0005,0.01625,0.128375,46.5,1433,False
premier-league,FC Fulham,0.0005,0.022125,0.07125,48.7,1473,False
premier-league,AFC Sunderland,0.0,0.001875,0.283125,41.7,1441,False
premier-league,Hull City,0.0,0.0,0.700875,33.9,1300,False
premier-league,Ipswich Town,0.0,0.0,0.8345,30.2,1300,False
premier-league,Coventry City,0.0,0.000125,0.695625,34.2,1300,True
serie-a,Inter Mailand,0.29575,0.778625,0.0,71.5,1619,False
serie-a,Juventus Turin,0.2,0.677,0.0,69.2,1552,False
serie-a,Como 1907,0.183875,0.604375,0.0005,68.0,1528,False
serie-a,SSC Neapel,0.132375,0.5715,0.000125,67.2,1567,False
serie-a,AS Rom,0.07875,0.44175,0.000625,64.6,1556,False
serie-a,AC Mailand,0.0585,0.37975,0.00075,63.4,1531,False
serie-a,Atalanta Bergamo,0.024375,0.213875,0.001625,59.6,1522,False
serie-a,Lazio Rom,0.013875,0.146625,0.0065,57.4,1500,False
serie-a,AC Florenz,0.007625,0.094,0.013,55.4,1477,False
serie-a,FC Bologna,0.001375,0.028125,0.039625,50.5,1496,False
serie-a,Udinese Calcio,0.000875,0.0165,0.069125,48.4,1453,False
serie-a,CFC Genua 1893,0.000875,0.00925,0.099625,46.6,1435,False
serie-a,FC Turin,0.00075,0.017875,0.068125,48.3,1445,False
serie-a,Cagliari Calcio,0.000375,0.002875,0.165,44.0,1431,False
serie-a,Sassuolo Calcio,0.000375,0.00875,0.126,45.8,1412,False
serie-a,Parma Calcio,0.000125,0.007375,0.169625,44.6,1439,False
serie-a,US Lecce,0.000125,0.001375,0.31475,40.6,1415,False
serie-a,Frosinone Calcio,0.0,0.000125,0.749125,32.1,1300,False
serie-a,AC Monza,0.0,0.0,0.595625,35.4,1300,False
serie-a,FC Venedig,0.0,0.00025,0.58025,35.5,1300,False
