,goal,goals_in_match,goals_in_first_half,goals_in_second_half,goals_scored_avg_minutes_left,points_team,points_opp,goalsscored_inGame_team,goalsscored_inGame_opp,goalsscored_cum_team,goalsscored_cum_opp,goalsconceded_cum_team,goalsconceded_cum_opp,home_pitch,goalsscored_rank_team,goalsconceded_rank_team,goalsconceded_rank_opp,goalsscored_rank_team_wo_player,goalsscored_cum_player,id_match,name_team,name_opp,name_league,id_league,season,gameday,kick_off,N_games_left,N_games_right,N_games_center,goalsscored_rank_opp,goalsscored_diff,goal_balance_team,goal_balance_opp,goal_balance_diff,points_diff,goalsscored_share_player_team,name_player
10,,,,,,33.0,37.0,,,38.0,39.0,49.0,38.0,1.0,9.0,15.5,8.5,9.0,0,BL1-S2425_GD26_G2,Werder Bremen,Bor. Mönchengladbach,bundesliga,BL1,2024/25,26,2025-03-15,0,1,5,7.5,-1.0,-11.0,1.0,-12.0,-4.0,0.0,andre-silva
11,,,,,,33.0,17.0,,,38.0,37.0,49.0,61.0,0.0,9.0,15.5,18.0,9.0,0,BL1-S2425_GD27_G6,Werder Bremen,Holstein Kiel,bundesliga,BL1,2024/25,27,2025-03-29,0,1,5,10.0,1.0,-11.0,-24.0,13.0,16.0,0.0,andre-silva
12,,,,,,33.0,42.0,,,38.0,51.0,49.0,39.0,1.0,9.0,15.5,11.5,9.0,0,BL1-S2425_GD28_G7,Werder Bremen,Eintracht Frankfurt,bundesliga,BL1,2024/25,28,2025-04-05,0,1,5,2.0,-13.0,-11.0,12.0,-23.0,-9.0,0.0,andre-silva
13,,,,,,33.0,37.0,,,38.0,44.0,49.0,39.0,0.0,9.0,15.5,11.5,9.0,0,BL1-S2425_GD29_G8,Werder Bremen,VfB Stuttgart,bundesliga,BL1,2024/25,29,2025-04-13,0,1,5,5.0,-6.0,-11.0,5.0,-16.0,-4.0,0.0,andre-silva
14,,,,,,33.0,20.0,,,38.0,26.0,49.0,49.0,1.0,9.0,15.5,15.5,9.0,0,BL1-S2425_GD30_G3,Werder Bremen,VfL Bochum,bundesliga,BL1,2024/25,30,2025-04-19,0,1,5,15.0,12.0,-11.0,-23.0,12.0,13.0,0.0,andre-silva
15,,,,,,33.0,22.0,,,38.0,19.0,49.0,30.0,1.0,9.0,15.5,3.5,9.0,0,BL1-S2425_GD31_G6,Werder Bremen,FC St. Pauli,bundesliga,BL1,2024/25,31,2025-04-26,0,1,5,17.0,19.0,-11.0,-11.0,0.0,11.0,0.0,andre-silva
16,,,,,,33.0,26.0,,,38.0,22.0,49.0,38.0,0.0,9.0,15.5,8.5,9.0,0,BL1-S2425_GD32_G8,Werder Bremen,1. FC Union Berlin,bundesliga,BL1,2024/25,32,2025-05-03,0,1,5,16.0,16.0,-11.0,-16.0,5.0,7.0,0.0,andre-silva
17,,,,,,33.0,39.0,,,38.0,39.0,49.0,33.0,1.0,9.0,15.5,5.0,9.0,0,BL1-S2425_GD33_G5,Werder Bremen,RB Leipzig,bundesliga,BL1,2024/25,33,2025-05-10,0,1,5,7.5,-1.0,-11.0,6.0,-17.0,-6.0,0.0,andre-silva
18,,,,,,33.0,16.0,,,38.0,28.0,49.0,51.0,0.0,9.0,15.5,17.0,9.0,0,BL1-S2425_GD34_G4,Werder Bremen,1. FC Heidenheim,bundesliga,BL1,2024/25,34,2025-05-17,0,1,5,13.5,10.0,-11.0,-23.0,12.0,17.0,0.0,andre-silva
19,,,,,,46.0,26.0,,,43.0,28.0,30.0,43.0,1.0,6.5,5.5,14.0,8.0,6,SEA-S2425_GD29_G8,AS Rom,Cagliari Calcio,serie-a,SEA,2024/25,29,2025-03-16,0,0,23,13.5,15.0,13.0,-15.0,28.0,20.0,0.1395348837209302,paulo-dybala
20,,,,,,46.0,25.0,,,43.0,20.0,30.0,46.0,0.0,6.5,5.5,17.0,8.0,6,SEA-S2425_GD30_G4,AS Rom,US Lecce,serie-a,SEA,2024/25,30,2025-03-29,0,0,23,19.0,23.0,13.0,-26.0,39.0,21.0,0.1395348837209302,paulo-dybala
21,,,,,,46.0,52.0,,,43.0,45.0,30.0,25.0,1.0,6.5,5.5,2.0,8.0,6,SEA-S2425_GD31_G9,AS Rom,Juventus Turin,serie-a,SEA,2024/25,31,2025-04-06,0,0,23,3.5,-2.0,13.0,20.0,-7.0,-6.0,0.1395348837209302,paulo-dybala
22,,,,,,46.0,51.0,,,43.0,50.0,30.0,36.0,0.0,6.5,5.5,10.5,8.0,6,SEA-S2425_GD32_G7,AS Rom,Lazio Rom,serie-a,SEA,2024/25,32,2025-04-13,0,0,23,2.0,-7.0,13.0,14.0,-1.0,-5.0,0.1395348837209302,paulo-dybala
23,,,,,,46.0,26.0,,,43.0,28.0,30.0,58.0,1.0,6.5,5.5,20.0,8.0,6,SEA-S2425_GD33_G9,AS Rom,Hellas Verona,serie-a,SEA,2024/25,33,2025-04-20,0,0,23,13.5,15.0,13.0,-30.0,43.0,20.0,0.1395348837209302,paulo-dybala
24,,,,,,46.0,61.0,,,43.0,63.0,30.0,27.0,0.0,6.5,5.5,4.0,8.0,6,SEA-S2425_GD34_G5,AS Rom,Inter Mailand,serie-a,SEA,2024/25,34,2025-04-27,0,0,23,0.5,-20.0,13.0,36.0,-23.0,-15.0,0.1395348837209302,paulo-dybala
25,,,,,,46.0,45.0,,,43.0,43.0,30.0,30.0,1.0,6.5,5.5,5.5,8.0,6,SEA-S2425_GD35_G9,AS Rom,AC Florenz,serie-a,SEA,2024/25,35,2025-05-03,0,0,23,6.5,0.0,13.0,13.0,0.0,1.0,0.1395348837209302,paulo-dybala
26,,,,,,46.0,58.0,,,43.0,63.0,30.0,26.0,0.0,6.5,5.5,3.0,8.0,6,SEA-S2425_GD36_G1,AS Rom,Atalanta Bergamo,serie-a,SEA,2024/25,36,2025-05-11,0,0,23,0.5,-20.0,13.0,37.0,-24.0,-12.0,0.1395348837209302,paulo-dybala
27,,,,,,46.0,44.0,,,43.0,42.0,30.0,32.0,1.0,6.5,5.5,7.0,8.0,6,SEA-S2425_GD37_G10,AS Rom,AC Mailand,serie-a,SEA,2024/25,37,2025-05-18,0,0,23,8.0,1.0,13.0,10.0,3.0,2.0,0.1395348837209302,paulo-dybala
28,,,,,,46.0,35.0,,,43.0,33.0,30.0,34.0,0.0,6.5,5.5,8.5,8.0,6,SEA-S2425_GD38_G8,AS Rom,FC Turin,serie-a,SEA,2024/25,38,2025-05-25,0,0,23,12.0,10.0,13.0,-1.0,14.0,11.0,0.1395348837209302,paulo-dybala
29,,,,,,36.0,16.0,,,40.0,18.0,41.0,62.0,0.0,5.0,17.0,20.0,8.0,8,LaL-S2425_GD28_G2,Celta Vigo,Real Valladolid,la-liga,LaL,2024/25,28,2025-03-15,0,10,4,19.0,22.0,-1.0,-44.0,43.0,20.0,0.2,iago-aspas
30,,,,,,36.0,24.0,,,40.0,30.0,41.0,45.0,1.0,5.0,17.0,18.5,8.0,8,LaL-S2425_GD29_G10,Celta Vigo,UD Las Palmas,la-liga,LaL,2024/25,29,2025-03-31,0,10,4,11.0,10.0,-1.0,-15.0,14.0,12.0,0.2,iago-aspas
31,,,,,,36.0,37.0,,,40.0,26.0,41.0,33.0,0.0,5.0,17.0,8.5,8.0,8,LaL-S2425_GD30_G7,Celta Vigo,RCD Mallorca,la-liga,LaL,2024/25,30,2025-04-06,0,10,4,14.0,14.0,-1.0,-7.0,6.0,-1.0,0.2,iago-aspas
32,,,,,,36.0,28.0,,,40.0,25.0,41.0,37.0,1.0,5.0,17.0,12.5,8.0,8,LaL-S2425_GD31_G10,Celta Vigo,Espanyol Barcelona,la-liga,LaL,2024/25,31,2025-04-13,0,10,4,15.0,15.0,-1.0,-12.0,11.0,8.0,0.2,iago-aspas
33,,,,,,36.0,57.0,,,40.0,71.0,41.0,25.0,0.0,5.0,17.0,4.0,8.0,8,LaL-S2425_GD32_G1,Celta Vigo,FC Barcelona,la-liga,LaL,2024/25,32,2025-04-20,0,10,4,0.0,-31.0,-1.0,46.0,-47.0,-21.0,0.2,iago-aspas
34,,,,,,36.0,44.0,,,40.0,48.0,41.0,36.0,1.0,5.0,17.0,10.5,8.0,8,LaL-S2425_GD33_G5,Celta Vigo,FC Villarreal,la-liga,LaL,2024/25,33,2025-04-23,0,10,4,2.0,-8.0,-1.0,12.0,-13.0,-8.0,0.2,iago-aspas
35,,,,,,36.0,57.0,,,40.0,57.0,41.0,26.0,0.0,5.0,17.0,5.0,8.0,8,LaL-S2425_GD34_G7,Celta Vigo,Real Madrid,la-liga,LaL,2024/25,34,2025-05-04,0,10,4,1.0,-17.0,-1.0,31.0,-32.0,-21.0,0.2,iago-aspas
36,,,,,,36.0,36.0,,,40.0,32.0,41.0,36.0,1.0,5.0,17.0,10.5,8.0,8,LaL-S2425_GD35_G4,Celta Vigo,FC Sevilla,la-liga,LaL,2024/25,35,2025-05-11,0,10,4,8.5,8.0,-1.0,-4.0,3.0,0.0,0.2,iago-aspas
37,,,,,,36.0,34.0,,,40.0,23.0,41.0,28.0,0.0,5.0,17.0,6.0,8.0,8,LaL-S2425_GD36_G6,Celta Vigo,Real Sociedad San Sebastian,la-liga,LaL,2024/25,36,2025-05-14,0,10,4,17.5,17.0,-1.0,-5.0,4.0,2.0,0.2,iago-aspas
38,,,,,,36.0,36.0,,,40.0,29.0,41.0,29.0,1.0,5.0,17.0,7.0,8.0,8,LaL-S2425_GD37_G3,Celta Vigo,Rayo Vallecano,la-liga,LaL,2024/25,37,2025-05-18,0,10,4,13.0,11.0,-1.0,0.0,-1.0,0.0,0.2,iago-aspas
39,,,,,,36.0,33.0,,,40.0,23.0,41.0,22.0,0.0,5.0,17.0,2.0,8.0,8,LaL-S2425_GD38_G8,Celta Vigo,FC Getafe,la-liga,LaL,2024/25,38,2025-05-25,0,10,4,17.5,17.0,-1.0,1.0,-2.0,3.0,0.2,iago-aspas
40,,,,,,33.0,32.0,,,32.0,29.0,48.0,33.0,0.0,15.0,16.0,4.0,15.0,2,PL-S2425_GD29_G2,West Ham United,FC Everton,premier-league,PL,2024/25,29,2025-03-15,0,0,4,16.0,3.0,-16.0,-4.0,-12.0,1.0,0.0625,niclas-fuellkrug
41,,,,,,33.0,23.0,,,32.0,38.0,48.0,57.0,0.0,15.0,16.0,17.0,15.0,2,PL-S2425_GD30_G2,West Ham United,Wolverhampton Wanderers,premier-league,PL,2024/25,30,2025-04-01,0,0,4,12.0,-6.0,-16.0,-19.0,3.0,10.0,0.0625,niclas-fuellkrug
42,,,,,,33.0,44.0,,,32.0,47.0,48.0,34.0,1.0,15.0,16.0,6.0,15.0,2,PL-S2425_GD31_G4,West Ham United,AFC Bournemouth,premier-league,PL,2024/25,31,2025-04-05,0,0,4,6.5,-15.0,-16.0,13.0,-29.0,-11.0,0.0625,niclas-fuellkrug
43,,,,,,33.0,70.0,,,32.0,69.0,48.0,27.0,0.0,15.0,16.0,2.0,15.0,2,PL-S2425_GD32_G8,West Ham United,FC Liverpool,premier-league,PL,2024/25,32,2025-04-13,0,0,4,0.0,-37.0,-16.0,42.0,-58.0,-37.0,0.0625,niclas-fuellkrug
44,,,,,,33.0,9.0,,,32.0,20.0,48.0,68.0,1.0,15.0,16.0,20.0,15.0,2,PL-S2425_GD33_G6,West Ham United,FC Southampton,premier-league,PL,2024/25,33,2025-04-19,0,0,4,19.0,12.0,-16.0,-48.0,32.0,24.0,0.0625,niclas-fuellkrug
45,,,,,,33.0,46.0,,,32.0,46.0,48.0,40.0,0.0,15.0,16.0,11.5,15.0,2,PL-S2425_GD34_G2,West Ham United,Brighton &amp; Hove Albion,premier-league,PL,2024/25,34,2025-04-26,0,0,4,8.0,-14.0,-16.0,6.0,-22.0,-13.0,0.0625,niclas-fuellkrug
46,,,,,,33.0,34.0,,,32.0,55.0,48.0,41.0,1.0,15.0,16.0,13.0,15.0,2,PL-S2425_GD35_G10,West Ham United,Tottenham Hotspur,premier-league,PL,2024/25,35,2025-05-03,0,0,4,1.0,-23.0,-16.0,14.0,-30.0,-1.0,0.0625,niclas-fuellkrug
47,,,,,,33.0,34.0,,,32.0,34.0,48.0,40.0,0.0,15.0,16.0,11.5,15.0,2,PL-S2425_GD36_G5,West Ham United,Manchester United,premier-league,PL,2024/25,36,2025-05-10,0,0,4,14.0,-2.0,-16.0,-6.0,-10.0,-1.0,0.0625,niclas-fuellkrug
48,,,,,,33.0,51.0,,,32.0,45.0,48.0,33.0,1.0,15.0,16.0,4.0,15.0,2,PL-S2425_GD37_G10,West Ham United,Nottingham Forest,premier-league,PL,2024/25,37,2025-05-18,0,0,4,9.0,-13.0,-16.0,12.0,-28.0,-18.0,0.0625,niclas-fuellkrug
49,,,,,,33.0,17.0,,,32.0,26.0,48.0,58.0,0.0,15.0,16.0,18.0,15.0,2,PL-S2425_GD38_G3,West Ham United,Ipswich Town,premier-league,PL,2024/25,38,2025-05-25,0,0,4,17.0,6.0,-16.0,-32.0,16.0,16.0,0.0625,niclas-fuellkrug
50,,,,,,61.0,26.0,,,74.0,22.0,23.0,38.0,0.0,0.0,1.0,8.5,1.0,21,BL1-S2425_GD26_G5,Bayern München,1. FC Union Berlin,bundesliga,BL1,2024/25,26,2025-03-15,0,0,36,16.0,52.0,51.0,-16.0,67.0,35.0,0.2837837837837837,harry-kane
51,,,,,,61.0,22.0,,,74.0,19.0,23.0,30.0,1.0,0.0,1.0,3.5,1.0,21,BL1-S2425_GD27_G2,Bayern München,FC St. Pauli,bundesliga,BL1,2024/25,27,2025-03-29,0,0,36,17.0,55.0,51.0,-11.0,62.0,39.0,0.2837837837837837,harry-kane
52,,,,,,61.0,35.0,,,74.0,28.0,23.0,35.0,0.0,0.0,1.0,6.0,1.0,21,BL1-S2425_GD28_G1,Bayern München,FC Augsburg,bundesliga,BL1,2024/25,28,2025-04-04,0,0,36,13.5,46.0,51.0,-7.0,58.0,26.0,0.2837837837837837,harry-kane
53,,,,,,61.0,35.0,,,74.0,45.0,23.0,39.0,1.0,0.0,1.0,11.5,1.0,21,BL1-S2425_GD29_G7,Bayern München,Borussia Dortmund,bundesliga,BL1,2024/25,29,2025-04-12,0,0,36,4.0,29.0,51.0,6.0,45.0,26.0,0.2837837837837837,harry-kane
54,,,,,,61.0,16.0,,,74.0,28.0,23.0,51.0,0.0,0.0,1.0,17.0,1.0,21,BL1-S2425_GD30_G2,Bayern München,1. FC Heidenheim,bundesliga,BL1,2024/25,30,2025-04-19,0,0,36,13.5,46.0,51.0,-23.0,74.0,45.0,0.2837837837837837,harry-kane
55,,,,,,61.0,44.0,,,74.0,42.0,23.0,26.0,1.0,0.0,1.0,2.0,1.0,21,BL1-S2425_GD31_G3,Bayern München,1. FSV Mainz 05,bundesliga,BL1,2024/25,31,2025-04-26,0,0,36,6.0,32.0,51.0,16.0,35.0,17.0,0.2837837837837837,harry-kane
56,,,,,,61.0,39.0,,,74.0,39.0,23.0,33.0,0.0,0.0,1.0,5.0,1.0,21,BL1-S2425_GD32_G1,Bayern München,RB Leipzig,bundesliga,BL1,2024/25,32,2025-05-03,0,0,36,7.5,35.0,51.0,6.0,45.0,22.0,0.2837837837837837,harry-kane
57,,,,,,61.0,37.0,,,74.0,39.0,23.0,38.0,1.0,0.0,1.0,8.5,1.0,21,BL1-S2425_GD33_G3,Bayern München,Bor. Mönchengladbach,bundesliga,BL1,2024/25,33,2025-05-10,0,0,36,7.5,35.0,51.0,1.0,50.0,24.0,0.2837837837837837,harry-kane
58,,,,,,61.0,26.0,,,74.0,32.0,23.0,47.0,0.0,0.0,1.0,14.0,1.0,21,BL1-S2425_GD34_G3,Bayern München,TSG Hoffenheim,bundesliga,BL1,2024/25,34,2025-05-17,0,0,36,12.0,42.0,51.0,-15.0,66.0,35.0,0.2837837837837837,harry-kane
59,,,,,,17.0,34.0,,,25.0,34.0,62.0,40.0,1.0,18.0,19.0,11.5,19.0,7,PL-S2425_GD29_G9,Leicester City,Manchester United,premier-league,PL,2024/25,29,2025-03-16,0,0,26,14.0,-9.0,-37.0,-6.0,-31.0,-17.0,0.28,jamie-vardy
60,,,,,,17.0,47.0,,,25.0,53.0,62.0,38.0,0.0,18.0,19.0,9.0,19.0,7,PL-S2425_GD30_G6,Leicester City,Manchester City,premier-league,PL,2024/25,30,2025-04-02,0,0,26,2.5,-28.0,-37.0,15.0,-52.0,-30.0,0.28,jamie-vardy
61,,,,,,17.0,47.0,,,25.0,47.0,62.0,38.0,1.0,18.0,19.0,9.0,19.0,7,PL-S2425_GD31_G10,Leicester City,Newcastle United,premier-league,PL,2024/25,31,2025-04-07,0,0,26,6.5,-22.0,-37.0,9.0,-46.0,-30.0,0.28,jamie-vardy
62,,,,,,17.0,46.0,,,25.0,46.0,62.0,40.0,0.0,18.0,19.0,11.5,19.0,7,PL-S2425_GD32_G2,Leicester City,Brighton &amp; Hove Albion,premier-league,PL,2024/25,32,2025-04-12,0,0,26,8.0,-21.0,-37.0,6.0,-43.0,-29.0,0.28,jamie-vardy
63,,,,,,17.0,70.0,,,25.0,69.0,62.0,27.0,1.0,18.0,19.0,2.0,19.0,7,PL-S2425_GD33_G9,Leicester City,FC Liverpool,premier-league,PL,2024/25,33,2025-04-20,0,0,26,0.0,-44.0,-37.0,42.0,-79.0,-53.0,0.28,jamie-vardy
64,,,,,,17.0,23.0,,,25.0,38.0,62.0,57.0,0.0,18.0,19.0,17.0,19.0,7,PL-S2425_GD34_G6,Leicester City,Wolverhampton Wanderers,premier-league,PL,2024/25,34,2025-04-26,0,0,26,12.0,-13.0,-37.0,-19.0,-18.0,-6.0,0.28,jamie-vardy
65,,,,,,17.0,9.0,,,25.0,20.0,62.0,68.0,1.0,18.0,19.0,20.0,19.0,7,PL-S2425_GD35_G8,Leicester City,FC Southampton,premier-league,PL,2024/25,35,2025-05-03,0,0,26,19.0,5.0,-37.0,-48.0,11.0,8.0,0.28,jamie-vardy
66,,,,,,17.0,51.0,,,25.0,45.0,62.0,33.0,0.0,18.0,19.0,4.0,19.0,7,PL-S2425_GD36_G7,Leicester City,Nottingham Forest,premier-league,PL,2024/25,36,2025-05-10,0,0,26,9.0,-20.0,-37.0,12.0,-49.0,-34.0,0.28,jamie-vardy
67,,,,,,17.0,17.0,,,25.0,26.0,62.0,58.0,1.0,18.0,19.0,18.0,19.0,7,PL-S2425_GD37_G8,Leicester City,Ipswich Town,premier-league,PL,2024/25,37,2025-05-18,0,0,26,17.0,-1.0,-37.0,-32.0,-5.0,0.0,0.28,jamie-vardy
68,,,,,,17.0,44.0,,,25.0,47.0,62.0,34.0,0.0,18.0,19.0,6.0,19.0,7,PL-S2425_GD38_G1,Leicester City,AFC Bournemouth,premier-league,PL,2024/25,38,2025-05-25,0,0,26,6.5,-22.0,-37.0,13.0,-50.0,-27.0,0.28,jamie-vardy
69,,,,,,56.0,57.0,,,44.0,71.0,18.0,25.0,1.0,4.0,1.0,4.0,5.0,8,LaL-S2425_GD28_G10,Atletico Madrid,FC Barcelona,la-liga,LaL,2024/25,28,2025-03-16,3,1,28,0.0,-27.0,26.0,46.0,-20.0,-1.0,0.1818181818181818,antoine-griezmann
70,,,,,,56.0,28.0,,,44.0,25.0,18.0,37.0,0.0,4.0,1.0,12.5,5.0,8,LaL-S2425_GD29_G3,Atletico Madrid,Espanyol Barcelona,la-liga,LaL,2024/25,29,2025-03-29,3,1,28,15.0,19.0,26.0,-12.0,38.0,28.0,0.1818181818181818,antoine-griezmann
71,,,,,,56.0,36.0,,,44.0,32.0,18.0,36.0,0.0,4.0,1.0,10.5,5.0,8,LaL-S2425_GD30_G6,Atletico Madrid,FC Sevilla,la-liga,LaL,2024/25,30,2025-04-06,3,1,28,8.5,12.0,26.0,-4.0,30.0,20.0,0.1818181818181818,antoine-griezmann
72,,,,,,56.0,16.0,,,44.0,18.0,18.0,62.0,1.0,4.0,1.0,20.0,5.0,8,LaL-S2425_GD31_G2,Atletico Madrid,Real Valladolid,la-liga,LaL,2024/25,31,2025-04-13,3,1,28,19.0,26.0,26.0,-44.0,70.0,40.0,0.1818181818181818,antoine-griezmann
73,,,,,,56.0,24.0,,,44.0,30.0,18.0,45.0,0.0,4.0,1.0,18.5,5.0,8,LaL-S2425_GD32_G5,Atletico Madrid,UD Las Palmas,la-liga,LaL,2024/25,32,2025-04-20,3,1,28,11.0,14.0,26.0,-15.0,41.0,32.0,0.1818181818181818,antoine-griezmann
74,,,,,,56.0,36.0,,,44.0,29.0,18.0,29.0,1.0,4.0,1.0,7.0,5.0,8,LaL-S2425_GD33_G2,Atletico Madrid,Rayo Vallecano,la-liga,LaL,2024/25,33,2025-04-23,3,1,28,13.0,15.0,26.0,0.0,26.0,20.0,0.1818181818181818,antoine-griezmann
75,,,,,,56.0,26.0,,,44.0,30.0,18.0,40.0,0.0,4.0,1.0,15.0,5.0,8,LaL-S2425_GD34_G3,Atletico Madrid,Deportivo Alaves,la-liga,LaL,2024/25,34,2025-05-04,3,1,28,11.0,14.0,26.0,-10.0,36.0,30.0,0.1818181818181818,antoine-griezmann
76,,,,,,56.0,34.0,,,44.0,23.0,18.0,28.0,1.0,4.0,1.0,6.0,5.0,8,LaL-S2425_GD35_G1,Atletico Madrid,Real Sociedad San Sebastian,la-liga,LaL,2024/25,35,2025-05-11,3,1,28,17.5,21.0,26.0,-5.0,31.0,22.0,0.1818181818181818,antoine-griezmann
77,,,,,,56.0,33.0,,,44.0,32.0,18.0,37.0,0.0,4.0,1.0,12.5,5.0,8,LaL-S2425_GD36_G4,Atletico Madrid,CA Osasuna,la-liga,LaL,2024/25,36,2025-05-14,3,1,28,8.5,12.0,26.0,-5.0,31.0,23.0,0.1818181818181818,antoine-griezmann
78,,,,,,56.0,41.0,,,44.0,35.0,18.0,33.0,1.0,4.0,1.0,8.5,5.0,8,LaL-S2425_GD37_G1,Atletico Madrid,Real Betis Sevilla,la-liga,LaL,2024/25,37,2025-05-18,3,1,28,6.5,9.0,26.0,2.0,24.0,15.0,0.1818181818181818,antoine-griezmann
79,,,,,,56.0,33.0,,,44.0,35.0,18.0,40.0,0.0,4.0,1.0,15.0,5.0,8,LaL-S2425_GD38_G7,Atletico Madrid,FC Girona,la-liga,LaL,2024/25,38,2025-05-25,3,1,28,6.5,9.0,26.0,-5.0,31.0,23.0,0.1818181818181818,antoine-griezmann
80,,,,,,57.0,56.0,,,71.0,44.0,25.0,18.0,0.0,0.0,4.0,1.0,1.0,21,LaL-S2425_GD28_G10,FC Barcelona,Atletico Madrid,la-liga,LaL,2024/25,28,2025-03-16,0,0,35,4.0,27.0,46.0,26.0,20.0,1.0,0.2957746478873239,robert-lewandowski
81,,,,,,57.0,33.0,,,71.0,35.0,25.0,40.0,1.0,0.0,4.0,15.0,1.0,21,LaL-S2425_GD29_G7,FC Barcelona,FC Girona,la-liga,LaL,2024/25,29,2025-03-30,0,0,35,6.5,36.0,46.0,-5.0,51.0,24.0,0.2957746478873239,robert-lewandowski
82,,,,,,57.0,41.0,,,71.0,35.0,25.0,33.0,1.0,0.0,4.0,8.5,1.0,21,LaL-S2425_GD30_G1,FC Barcelona,Real Betis Sevilla,la-liga,LaL,2024/25,30,2025-04-06,0,0,35,6.5,36.0,46.0,2.0,44.0,16.0,0.2957746478873239,robert-lewandowski
83,,,,,,57.0,27.0,,,71.0,24.0,25.0,40.0,0.0,0.0,4.0,15.0,1.0,21,LaL-S2425_GD31_G6,FC Barcelona,CD Leganes,la-liga,LaL,2024/25,31,2025-04-13,0,0,35,16.0,47.0,46.0,-16.0,62.0,30.0,0.2957746478873239,robert-lewandowski
84,,,,,,57.0,36.0,,,71.0,40.0,25.0,41.0,1.0,0.0,4.0,17.0,1.0,21,LaL-S2425_GD32_G1,FC Barcelona,Celta Vigo,la-liga,LaL,2024/25,32,2025-04-20,0,0,35,5.0,31.0,46.0,-1.0,47.0,21.0,0.2957746478873239,robert-lewandowski
85,,,,,,57.0,37.0,,,71.0,26.0,25.0,33.0,1.0,0.0,4.0,8.5,1.0,21,LaL-S2425_GD33_G3,FC Barcelona,RCD Mallorca,la-liga,LaL,2024/25,33,2025-04-23,0,0,35,14.0,45.0,46.0,-7.0,53.0,20.0,0.2957746478873239,robert-lewandowski
